y/H,N,U/Uc,V/Uc,W/Uc
7.41E-01,5843,5.47E-02,4.07E-02,4.17E-02
7.53E-01,5933,5.41E-02,4.05E-02,4.04E-02
7.65E-01,5882,5.23E-02,4.02E-02,3.96E-02
7.77E-01,5909,5.21E-02,4.01E-02,3.98E-02
7.90E-01,5913,5.10E-02,3.89E-02,3.88E-02
8.02E-01,5893,5.07E-02,3.92E-02,3.88E-02
8.14E-01,6103,4.86E-02,3.81E-02,3.81E-02
8.26E-01,5780,5.05E-02,3.89E-02,3.78E-02
8.38E-01,5806,4.85E-02,3.83E-02,3.67E-02
8.51E-01,5573,4.93E-02,3.93E-02,3.80E-02
8.63E-01,5710,4.84E-02,3.83E-02,3.75E-02
8.75E-01,5818,4.75E-02,3.73E-02,3.71E-02
8.87E-01,5905,4.66E-02,3.93E-02,3.63E-02
9.00E-01,5830,4.63E-02,3.84E-02,3.52E-02
9.12E-01,5976,4.49E-02,3.83E-02,3.60E-02
9.24E-01,5787,4.59E-02,3.88E-02,3.64E-02
9.36E-01,5937,4.48E-02,3.84E-02,3.63E-02
9.49E-01,6075,4.48E-02,3.74E-02,3.59E-02
9.61E-01,5915,4.52E-02,3.73E-02,3.58E-02
9.73E-01,5981,4.43E-02,3.76E-02,3.57E-02
9.85E-01,5911,4.42E-02,3.74E-02,3.55E-02
9.98E-01,5809,4.48E-02,3.84E-02,3.58E-02
1.01E+00,6001,4.44E-02,3.78E-02,3.52E-02
1.02E+00,6328,4.35E-02,3.68E-02,3.64E-02
1.03E+00,5895,4.47E-02,3.78E-02,3.52E-02
1.05E+00,5945,4.47E-02,3.83E-02,3.54E-02
1.06E+00,5937,4.49E-02,3.69E-02,3.53E-02
1.07E+00,6066,4.63E-02,3.79E-02,3.60E-02
1.08E+00,6192,4.55E-02,3.81E-02,3.65E-02
1.10E+00,6109,4.58E-02,3.75E-02,3.71E-02
1.11E+00,6030,4.64E-02,3.96E-02,3.65E-02
1.12E+00,6058,4.70E-02,3.87E-02,3.63E-02
1.13E+00,6215,4.74E-02,3.79E-02,3.64E-02
1.14E+00,6270,4.79E-02,3.92E-02,3.76E-02
1.16E+00,6175,4.85E-02,3.83E-02,3.72E-02
1.17E+00,6140,5.04E-02,3.78E-02,3.77E-02
1.18E+00,6033,5.13E-02,4.12E-02,3.85E-02
1.19E+00,6155,5.07E-02,3.94E-02,3.97E-02
1.21E+00,6408,5.25E-02,3.95E-02,3.94E-02
1.22E+00,6422,5.22E-02,3.94E-02,3.88E-02
1.23E+00,6427,5.26E-02,4.00E-02,4.07E-02
1.24E+00,6318,5.39E-02,4.01E-02,4.16E-02
1.25E+00,6158,5.47E-02,4.01E-02,4.17E-02
1.27E+00,6102,5.63E-02,4.13E-02,4.25E-02
1.28E+00,6457,5.66E-02,4.01E-02,4.33E-02
1.29E+00,6466,5.66E-02,4.12E-02,4.30E-02
1.30E+00,6381,5.77E-02,4.04E-02,4.45E-02
1.32E+00,6631,5.93E-02,4.23E-02,4.46E-02
1.33E+00,6552,6.05E-02,4.32E-02,4.53E-02
1.34E+00,6708,5.96E-02,4.26E-02,4.61E-02
1.35E+00,6748,6.06E-02,4.25E-02,4.62E-02
1.36E+00,6526,6.17E-02,4.37E-02,4.59E-02
1.38E+00,6624,6.18E-02,4.31E-02,4.69E-02
1.39E+00,6951,6.11E-02,4.22E-02,4.74E-02
1.40E+00,7019,6.25E-02,4.30E-02,4.80E-02
1.41E+00,7107,6.34E-02,4.31E-02,4.86E-02
1.43E+00,6976,6.51E-02,4.37E-02,4.93E-02
1.44E+00,7102,6.62E-02,4.41E-02,4.89E-02
1.45E+00,7044,6.74E-02,4.49E-02,4.95E-02
1.46E+00,6795,6.64E-02,4.49E-02,5.05E-02
